Time,Temp,CO2
1,9.38427,1.08379
2,4.17416,1.09919
3,6.54383,1.44555
4,1.63614,1.16117
5,3.52404,1.87813
6,1.48447,1.14309
7,2.95304,1.50948
8,2.33312,1.25312
9,5.52444,1.04344
10,1.44574,1.05268
11,3.00462,1.08872
12,4.25664,2.31060
13,1.72325,1.28366
14,5.43806,1.12718
15,2.95800,1.89484
16,1.35647,1.94525
17,1.46294,1.33114
18,2.35925,1.18505
19,1.45143,2.43965
20,3.55371,1.26495
21,2.95800,1.85232
22,2.95800,2.23840
23,2.78147,2.03157
24,2.92184,1.87790
25,3.23525,2.53176
26,3.43383,1.41429
27,2.32403,1.14805
28,1.66329,1.04431
29,1.25394,1.29433
30,1.23814,1.25261
31,1.14765,0.94244
32,0.90250,1.26893
33,1.75013,1.70382
34,1.43742,1.04731
35,1.14367,1.53804
36,1.30348,1.14005
37,1.04966,1.32880
38,0.93006,1.00199
39,1.48931,1.35786
40,2.61679,1.19188
41,2.36097,0.95235
42,2.19910,1.08131
43,2.21438,1.08986
44,1.40688,0.71875
45,1.48478,1.13767
46,3.51399,2.39960
47,1.58560,1.04369
48,2.23227,1.10346
49,2.95800,1.16067
50,2.89070,1.04652
51,4.23086,1.04893
52,4.89002,1.30497
53,1.29277,1.51137
54,6.78560,1.34464
55,4.95669,1.09145
56,2.84761,0.94937
57,1.68369,1.12380
58,6.18163,1.08967
59,3.25365,1.08916
60,2.95258,0.94600
61,2.35803,1.20253
62,6.29140,1.28455
63,1.47751,1.04705
64,2.94037,0.97358
65,1.27744,0.94828
66,2.80004,1.09736
67,4.32745,1.42210
68,1.70494,1.24634
69,3.12320,1.10166
70,1.47907,2.04960
71,6.91186,0.98624
72,5.26500,1.51143
73,6.14897,1.89511
74,6.86247,1.50348
75,5.97826,1.62501
76,7.38453,1.61026
77,5.92259,1.04136
78,4.87897,1.10046
79,4.22294,1.11479
80,4.68625,1.26528
81,5.80309,1.26604
82,4.91513,1.01063
83,4.27566,1.04971
84,3.68771,1.46876
85,6.54384,2.65425
86,7.73169,2.80156
87,5.84088,1.80957
88,4.25335,1.04435
