x,y,rPRCP,rRS
-1793,682,3258,1229.43872070312
-1693,682,729,683.714233398438
-1593,682,1274,569.609985351562
-1493,682,1650,641.499450683594
2207,682,1321,915.864685058594
2307,682,1049,896.163513183594
2407,682,1063,612.856018066406
-1793,582,3409,1179.22534179688
-1693,582,725,640.560974121094
-1593,582,2839,902.253479003906
-1493,582,812,562.837341308594
-1393,582,697,965.590881347656
-1293,582,980,767.44775390625
-1193,582,1257,635.005004882812
-1093,582,793,590.448059082031
-993,582,1787,587.957885742188
2207,582,1307,776.357116699219
2307,582,1099,800.324279785156
2407,582,1244,812.915161132812
2507,582,1510,802.683715820312
-1793,482,2790,1236.90405273438
-1693,482,1421,934.264831542969
-1593,482,1739,952.511901855469
-1493,482,323,537.761779785156
-1393,482,548,624.772399902344
-1293,482,628,704.396057128906
-1193,482,1282,810.574096679688
-1093,482,1167,558.805358886719
-993,482,1098,583.841430664062
-893,482,264,429.191864013672
-793,482,335,344.813354492188
-693,482,306,504.170806884766
-593,482,323,425.679992675781
-493,482,322,357.334625244141
-393,482,335,372.323699951172
-293,482,387,332.536041259766
-193,482,429,536.80078125
-93,482,333,551.407531738281
7,482,469,688.181213378906
107,482,493,635.065856933594
207,482,501,599.788757324219
307,482,516,533.102722167969
407,482,499,529.041137695312
2207,482,1213,786.078125
2307,482,1362,593.07666015625
2407,482,1307,800.035400390625
2507,482,1480,664.817810058594
-1793,382,2911,1266.22045898438
-1693,382,3145,1160.50012207031
-1593,382,365,852.967346191406
-1493,382,272,384.201141357422
-1393,382,423,720.364868164062
-1293,382,623,755.515014648438
-1193,382,1331,600.229614257812
-1093,382,620,654.804260253906
-993,382,998,545.271057128906
-893,382,266,598.240356445312
-793,382,324,497.493713378906
-693,382,424,396.240325927734
-593,382,331,460.956329345703
-493,382,342,474.203247070312
-393,382,351,357.205474853516
-293,382,386,458.420196533203
-193,382,425,428.001251220703
-93,382,357,546.797302246094
7,382,410,569.239318847656
107,382,512,729.464294433594
207,382,436,681.685546875
307,382,458,526.668090820312
407,382,608,558.866516113281
507,382,739,560.478332519531
607,382,792,714.133361816406
707,382,1119,1029.21411132812
807,382,851,504.285705566406
907,382,818,500.846466064453
2007,382,956,573.894958496094
2107,382,1196,503.038299560547
2207,382,1166,557.938171386719
2307,382,1276,760.800170898438
2407,382,1318,610.51513671875
2507,382,1582,589.004760742188
-1893,282,2531,1266.91687011719
-1793,282,1431,952.392639160156
-1693,282,2760,817.461547851562
-1593,282,424,793.20849609375
-1493,282,338,385.274139404297
-1393,282,538,623.174194335938
-1293,282,705,631.006164550781
-1193,282,1449,632.359436035156
-1093,282,380,576.079711914062
-993,282,496,615.752685546875
-893,282,280,520.539733886719
-793,282,335,644.188842773438
-693,282,319,414.502136230469
-593,282,300,473.254943847656
-493,282,249,474.203247070312
-393,282,363,401.610260009766
-293,282,352,506.60400390625
-193,282,386,587.516967773438
-93,282,425,494.900970458984
7,282,414,598.712036132812
107,282,381,792.628784179688
207,282,431,463.772277832031
307,282,419,704.593444824219
407,282,601,623.585998535156
507,282,760,709.301818847656
607,282,980,1058.84924316406
707,282,963,545.759216308594
807,282,971,476.121215820312
907,282,856,480.30908203125
1007,282,947,505.114318847656
1107,282,819,475.501831054688
1207,282,772,569.751098632812
1307,282,723,723.668090820312
1907,282,920,520.343139648438
2007,282,1115,810.497497558594
2107,282,1113,514.674926757812
2207,282,1141,789.09033203125
2307,282,1323,838.641723632812
2407,282,1294,571.311462402344
-1893,182,3053,1371.85278320312
-1793,182,1449,1181.93371582031
-1693,182,402,623.380310058594
-1593,182,415,528.976989746094
-1493,182,518,724.453979492188
